Node,Importance Score,ObsERS,MaxERS
DLAT,0.003994065959146412,127,127
GALM,0.8818897637795275,16,127
DLD,0.003994065959146412,127,127
BPGM,0.46331165126098384,12,127
MINPP1,0.36231884057971026,3,7
AKR1A1,0.003994065959146412,127,127
TPI1,0.0,7,7
GPI,0.3355015405682986,16,127
ADPGK,1.0,1,1
ALDH9A1,0.07246376811594205,7,7
AHR,0.5072463768115943,1,1
PDHB,0.5072463768115943,1,1
GAPDH,0.23964395754878476,56,127
PGM2,0.42857142857142855,5,7
MDH1,0.5072463768115943,1,1
MDH2,0.5072463768115943,1,1
POR,0.07246376811594205,7,7
ALDOA,0.0,1,1
ALDOC,0.4649758454106282,1,1
ALDH2,0.07246376811594205,7,7
ALDH1B1,0.07246376811594205,7,7
ALDH3A2,0.07246376811594205,7,7
ALDH3B1,0.07246376811594205,7,7
ADH5,0.003994065959146412,127,127
PDHA1,0.5072463768115943,1,1
LDHA,0.07246376811594205,7,7
LDHB,0.07246376811594205,7,7
LDHC,0.07246376811594205,7,7
PKM,0.003994065959146412,127,127
ENO1,0.2556202213853704,64,127
ENO2,0.2596142873445168,63,127
ENO3,0.2596142873445168,63,127
PGAM1,0.2556202213853704,64,127
PFKL,0.048309178743961366,7,7
PFKM,0.06642512077294688,7,7
PFKP,0.06642512077294688,7,7
FBP1,0.06642512077294688,7,7
PGM1,0.33212560386473444,3,7
HK1,0.0036612271292175446,127,127
HK2,0.003994065959146412,127,127
HK3,0.9448818897637795,8,127
HKDC1,0.003994065959146412,127,127
G6PC3,0.003994065959146412,127,127
PGK1,0.43934725550610537,8,127
PCK2,0.5072463768115943,1,1
ACSS2,0.5072463768115943,1,1
ACSS1,0.5072463768115943,1,1
